word,frequency count
fleet,377
mirror,67
incest,74
eavesdropping,6
detriment,41
repugnant,11
think,64
commons,5
affinity,27
railway,90
whale,39
provisional,268
lean,33
ignorance,7
annul,34
extortion,42
proponent,89
transact,24
liquidate,52
juror,22
seen,150
strip,200
terror,176
mayhem,4
subscribe,30
slave,106
smuggle,14
pirate,10
servitude,75
pact,17
thence,491
mutilation,12
peck,189
appurtenant,68
visitation,243
trader,30
voidable,16
debenture,125
sewer,332
erroneous,166
lessor,105
licensor,16
ecumenical,12
indicted,44
acquitted,12
chart,19
premier,46
expel,31
adventure,4
archery,18
emerge,21
league,536
tight,15
touch,15
mania,7
miscarriage,14
determinable,23
purview,36
suggestion,30
auditor,101
implication,21
archivist,242
archives,179
dormant,14
exaction,12
impression,28
abridge,11
needless,21
restaurant,88
tavern,3
pres,4
plebiscite,70
noxious,47
acknowledge,88
cent,262
perpetual,80
induction,150
desertion,5
carriage,151
traveler,99
dissent,20
jail,165
instigation,4
communism,6
supremacy,6
dissolution,104
colony,68
leasehold,109
annexation,7
depending,75
maltreatment,34
guinea,37
resignation,86
inauguration,20
devolve,9
nominee,89
constraint,7
bull,19
heifer,1
registrar,59
assigns,157
tick,167
retrocession,11
writ,91
sidewalk,25
bounds,31
caption,41
exhibition,153
expropriation,7
materia,2
fyke,1
boat,90
ascend,4
cheat,5
enclose,6
dictate,24
haven,94
condone,11
author,85
manuscript,17
logs,55
patentable,13
pamphlet,37
surveyor,13
householder,4
consul,2
brokerage,73
suspicion,57
poison,230
fictitious,40
sharp,57
woods,39
envoy,130
disturbance,113
defective,81
sheriff,40
embargo,162
negotiable,62
heirs,140
walkers,7
offerings,79
chaplain,14
prefer,29
pond,23
liquor,20
beer,82
rectifier,1
drawback,124
beverage,376
pave,7
absolutely,38
vest,96
insolvent,24
movable,16
intakes,10
misdemeanor,147
reversal,105
credentials,166
dictator,7
conspirators,9
embezzlement,81
retribution,12
campus,438
alcoholism,61
puberty,11
matriculate,3
treasure,43
sturgeon,14
tonnage,58
plurality,7
quay,4
grandchild,157
foreclose,21
heir,145
dowry,17
acquit,2
laches,6
declination,22
narrative,22
suffrage,39
pleadings,51
obliteration,9
merchantable,16
meter,118
logic,13
evict,9
forgery,16
intend,129
inevitable,9
quick,33
promissory,25
relaxation,6
bubble,10
jack,32
abandon,47
confrontation,8
advised,55
seals,41
dementia,39
extrinsic,16
doctor,147
insanity,9
sanity,2
promoters,35
ledger,47
emigration,27
proclaim,25
transient,48
coupons,88
malt,16
mailable,3
ambush,15
motive,60
setter,3
discredit,6
evenings,5
ancestor,38
steal,14
haul,18
agri,42
recourse,75
amortize,29
agrarian,7
theme,97
readers,42
latin,138
craft,97
housekeeper,1
notorious,5
archbishop,3
trespass,62
attestation,192
separatists,1
eagle,181
larceny,10
interlocutory,64
marines,51
pawnee,4
reset,12
controller,93
fugitive,93
felonious,7
maiden,20
summons,43
arrearages,41
onerous,19
assignable,42
guarantor,27
perfect,19
obra,21
eaves,1
outage,5
mortgagee,251
caucus,82
treasonable,1
rejoin,5
invitation,59
pasture,13
decoction,1
ripe,23
imitation,10
sake,7
grantor,72
contradict,8
arrive,36
prolongation,6
monograph,17
patrimony,13
exigency,5
commendation,17
corpus,167
assessor,27
ante,5
bailment,6
clandestine,55
founder,45
emissary,4
actor,35
covert,57
mercy,76
bury,3
ought,22
crates,8
dunnage,12
literate,20
badge,61
disinterested,14
sickness,108
malfeasance,60
sever,13
